gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,mlog10p
CD3G,5.577441259333447e-6,0.27545657876775254,0.742,0.541,0.1110580103558476,5.253564994935955
SLC9A3R1,5.8232084272351505e-6,0.3109240310292633,0.222,0.1,0.11595172620310631,5.234837665124992
ITM2C,6.222985166724418e-6,0.4411175937278894,0.291,0.153,0.12391208063981662,5.2060012342103565
STK17B,6.606585216594367e-6,0.3965154016922736,0.761,0.628,0.13155032483282705,5.18002295878862
S1PR4,6.6706539657456026e-6,0.41281587275024245,0.258,0.127,0.13282606176592643,5.175831587403931
IRF1,6.937958719467511e-6,0.35230522614531945,0.352,0.198,0.1381486340220371,5.1587682885182895
RPS25,7.237355319633795e-6,-0.2570254126413656,0.955,0.958,0.14411021912454813,5.140420105062466
RPL37,7.420735469258303e-6,-0.2793398489434429,0.976,0.971,0.14776168466387132,5.129553049652025
ABHD17A,7.955337296807058e-6,0.39676361498173485,0.369,0.219,0.15840667625402213,5.099341402059309
ABCG1,7.961402111935482e-6,0.3827591821252336,0.106,0.026,0.15852743885285933,5.0990104403209955
PRDM8,8.278303361597198e-6,-0.3545122458861846,0.043,0.129,0.1648375765361234,5.082058662756028
ANTXR2,8.626665094246077e-6,-0.5133863032980575,0.243,0.372,0.17177415535662788,5.064157061883778
PON2,8.720904321527948e-6,-0.5837390704158989,0.253,0.377,0.1736506468502645,5.059438478199784
GTSF1,8.927887710908472e-6,0.2812107370034779,0.125,0.037,0.1777721000996095,5.049251280642104
RALA,9.32704926396488e-6,0.36344731403341113,0.742,0.578,0.18572020494406868,5.030255729357913
SHISA5,9.92203591782071e-6,0.333177276615462,0.161,0.061,0.197567579195646,5.003399205148744
TRIM22,1.0526965922635268e-5,0.35839722377671485,0.173,0.069,0.20961294545151346,4.977696782938914
AP3B1,1.0551935591902116e-5,0.33398430485654984,0.409,0.245,0.21011014150595494,4.976667868349378
FKBP11,1.0885519297703332e-5,0.3419725878466728,0.168,0.066,0.21675246025586875,4.963150847950633
FARS2,1.1091251655246647e-5,0.3812060426989391,0.274,0.142,0.22084900295927123,4.955019440659349
CCL23,1.1161330227797744e-5,0.4050119677822131,0.118,0.034,0.22224440749590868,4.952284042301257
NEDD9,1.1252838359925532e-5,0.41494591389085245,0.534,0.372,0.22406651742283717,4.9487379194568675
ASXL2,1.2151800957224904e-5,0.37040673243521316,0.496,0.332,0.2419666606602623,4.915359352697512
PDE3B,1.3249848708738216e-5,0.30461812167063096,0.849,0.749,0.26383098748839534,4.877789080620402
POLR1E,1.3255320525036191e-5,0.4678015695762108,0.21,0.1,0.2639399422945206,4.877609766190299
