gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
HLA-C,-0.03207285012633527,12.561505260140654,-0.47548100299309554,0.6370287916355957,1,-8.057378028457201
NRROS,-0.08183970752548969,7.447029855340475,-0.4753396449004607,0.6371286502238941,1,-6.945468819738346
SKP1,0.05645950502744216,9.342805851031585,0.4735940219116837,0.6383623614235605,1,-7.386150824776753
GPNMB,-0.06815568123188866,9.380669699935245,-0.47226347273638214,0.6393034197059734,1,-7.3945264321658914
GNB2,-0.06725201793544157,8.440728329254393,-0.46978268152394403,0.6410596194309819,1,-7.190471820766793
MCM3,-0.086189151053865,7.321834728491825,-0.4694481153319442,0.6412966252014525,1,-6.922810777486218
RPA2,-0.0828983043561249,7.199920068864986,-0.46781533591648194,0.642453825780209,1,-6.898066595681553
ING1,-0.09312707281542071,7.186224335685022,-0.466279843170037,0.6435428988298129,1,-6.8912978393577005
BMPR2,-0.08097632947339738,7.304158160993723,-0.46454652435202787,0.644773238583404,1,-6.918995436994749
HLA-DQA2,0.11328127838106859,7.355008098196185,0.4641489735277402,0.6450555696047595,1,-6.9368805895124535
AGO2,-0.07778923522183666,7.231906530572824,-0.4639079932260011,0.6452267338711604,1,-6.9070304344360265
IMPDH1,0.07490787798416894,7.778423418997511,0.4634895155288197,0.6455240179117934,1,-7.030578702304254
ERH,0.05619415738949525,8.61490265244735,0.46327542467921223,0.6456761294996757,1,-7.233835691059788
HLA-DRA,0.08969891549367864,11.121525127442913,0.4626403945418092,0.6461274089877302,1,-7.763420500694931
PSMB1,-0.0625645550043513,7.785332389733815,-0.461187401888231,0.6471604758240916,1,-7.035466822443774
ABI1,-0.11253185264807278,6.9633917738453555,-0.46111598717993796,0.6472112693619092,1,-6.848454772692317
PDE7A,0.09300387413321891,7.242922646099696,0.45805978576372336,0.6493865806847705,1,-6.902571933365558
PSMC2,0.06620965360974122,7.2206284999303305,0.4555333560462734,0.6511871633374962,1,-6.898628902895582
CREM,0.08118524375420152,7.854192216971547,0.4553988289691389,0.6512830999517073,1,-7.050927637747082
CSTF3,0.06961762837005453,7.717967439175345,0.4531533623103939,0.6528853154742393,1,-7.021782958293184
